学校ID,登録番号,書名,書名ヨミ,書名巻次,版次,叢書名,叢書名ヨミ,叢書名巻次,タイトル関連情報,タイトル関連情報ヨミ,各巻書名,各巻書名ヨミ,各巻書名巻次,著者,著者ヨミ,各巻著者,各巻著者ヨミ,出版地,出版者,出版年,ページ数,サイズ,一般注記,ISBN,ISBN13,TRCナンバー,件名,件名ヨミ,内容,自校分類,NDC,TRC,書誌ID,請求記号,受入年月日
160,160-0-41452,盾の勇者の成り上がり,タテ／ノ／ユウシャ／ノ／ナリアガリ,３,,ＭＦブックス,エムエフ／ブックス,,,,,,,アネコ／ユサギ∥著,アネコ，ユサギ,,,東京,ＫＡＤＯＫＡＷＡ,２０１３．１２,３１３ｐ,１９ｃｍ,フロンティアワークス∥企画,4-04-066166-7,978-4-04-066166-7,,,,,913.6,,0,160-687194786551,913.6-ア-3,2019-07-03
160,160-0-41453,盾の勇者の成り上がり,タテ／ノ／ユウシャ／ノ／ナリアガリ,４,,ＭＦブックス,エムエフ／ブックス,,,,,,,アネコ／ユサギ∥著,アネコ，ユサギ,,,東京,ＫＡＤＯＫＡＷＡ,２０１４．２,３１２ｐ,１９ｃｍ,フロンティアワークス∥企画,4-04-066321-0,978-4-04-066321-0,,,,,913.6,,0,160-687194786552,913.6-ア-4,2019-07-03
160,160-0-41454,盾の勇者の成り上がり,タテ／ノ／ユウシャ／ノ／ナリアガリ,５,,ＭＦブックス,エムエフ／ブックス,,,,,,,アネコ／ユサギ∥著,アネコ，ユサギ,,,東京,ＫＡＤＯＫＡＷＡ,２０１４．４,３１７ｐ,１９ｃｍ,フロンティアワークス∥企画,4-04-066718-8,978-4-04-066718-8,,,,,913.6,,0,160-687194786553,913.6-ア-5,2019-07-03
160,160-0-41455,盾の勇者の成り上がり,タテ／ノ／ユウシャ／ノ／ナリアガリ,６,,ＭＦブックス,エムエフ／ブックス,,,,,,,アネコ／ユサギ∥著,アネコ，ユサギ,,,東京,ＫＡＤＯＫＡＷＡ,２０１４．６,３２３ｐ,１９ｃｍ,フロンティアワークス∥企画,4-04-066790-4,978-4-04-066790-4,,,,,913.6,,0,160-687194786554,913.6-ア-6,2019-07-03
160,160-0-41456,盾の勇者の成り上がり,タテ／ノ／ユウシャ／ノ／ナリアガリ,７,,ＭＦブックス,エムエフ／ブックス,,,,,,,アネコ／ユサギ∥著,アネコ，ユサギ,,,東京,ＫＡＤＯＫＡＷＡ,２０１４．９,３１６ｐ,１９ｃｍ,フロンティアワークス∥企画,4-04-066996-0,978-4-04-066996-0,,,,,913.6,,0,160-687194786555,913.6-ア-7,2019-07-03
160,160-0-41457,盾の勇者の成り上がり,タテ／ノ／ユウシャ／ノ／ナリアガリ,８,,ＭＦブックス,エムエフ／ブックス,,,,,,,アネコ／ユサギ∥著,アネコ，ユサギ,,,東京,ＫＡＤＯＫＡＷＡ,２０１４．１１,３１９ｐ,１９ｃｍ,フロンティアワークス∥企画,4-04-067180-2,978-4-04-067180-2,,,,,913.6,,0,160-687194786556,913.6-ア-8,2019-07-03
160,160-0-41458,転生したらスライムだった件,テンセイ／シタ／ラ／スライム／ダッタ／ケン,１,,ＧＣ　ＮＯＶＥＬＳ,ジーシー／ノベルズ,,,,,,,"伏瀬∥著  みっつばー∥イラスト","フセ  ミッツバー",,,東京,マイクロマガジン社,２０１４．６,３０６ｐ,１９ｃｍ,,4-89637-459-9,978-4-89637-459-9,,,,,913.6,,0,160-687194786541,913.6-フ-1,2019-07-03
160,160-0-41459,転生したらスライムだった件,テンセイ／シタ／ラ／スライム／ダッタ／ケン,２,,ＧＣ　ＮＯＶＥＬＳ,ジーシー／ノベルズ,,,,,,,"伏瀬∥著  みっつばー∥イラスト","フセ  ミッツバー",,,東京,マイクロマガジン社,２０１４．９,３２２ｐ,１９ｃｍ,,4-89637-473-5,978-4-89637-473-5,,,,,913.6,,0,160-687194786542,913.6-フ-2,2019-07-03
160,160-0-41460,転生したらスライムだった件,テンセイ／シタ／ラ／スライム／ダッタ／ケン,３,,ＧＣ　ＮＯＶＥＬＳ,ジーシー／ノベルズ,,,,,,,"伏瀬∥著  みっつばー∥イラスト","フセ  ミッツバー",,,東京,マイクロマガジン社,２０１４．１２,３２２ｐ,１９ｃｍ,,4-89637-488-9,978-4-89637-488-9,,,,,913.6,,0,160-687194786543,913.6-フ-3,2019-07-03
160,160-0-41461,転生したらスライムだった件,テンセイ／シタ／ラ／スライム／ダッタ／ケン,４,,ＧＣ　ＮＯＶＥＬＳ,ジーシー／ノベルズ,,,,,,,"伏瀬∥著  みっつばー∥イラスト","フセ  ミッツバー",,,東京,マイクロマガジン社,２０１５．５,３４５ｐ,１９ｃｍ,,4-89637-502-2,978-4-89637-502-2,,,,,913.6,,0,160-687194786544,913.6-フ-4,2019-07-03
